Store ID,Street Address,City,State/Province,Postcode,Latitude,Longitude
1,5600 Debarr Rd Ste 9,Anchorage,AK,995042300,61.21,-149.78
2,1725 Abbott Rd,Anchorage,AK,995073444,61.14,-149.84
3,1501 Huffman Rd,Anchorage,AK,995153596,61.11,-149.85
4,"320 W. 100th Ave, 100, Southgate Shopping Ctr - Anchorage",Anchorage,AK,99515,61.13,-149.89
5,1005 E Dimond Blvd,Anchorage,AK,995152050,61.14,-149.86
6,1000 E Northern Lights Blvd,Anchorage,AK,995084218,61.19,-149.87
7,3101 PENLAND PKWY.,Anchorage,AK,995081928,61.22,-149.82
