Store ID,Street Address,City,State/Province,Postcode,Latitude,Longitude
4,"320 W. 100th Ave, 100, Southgate Shopping Ctr - Anchorage",Anchorage,AK,99515,61.13,-149.89
3083,3215 COFFEY LANE,SANTA ROSA,CA,95403,38.47,-122.75
1775,"2919 Los Feliz Blvd., #6",Los Angeles,CA,900391544,34.13,-118.26
2143,"2304 South Mountain Avenue, Ontario Mills",Ontario,CA,91762,34.03,-117.67
5271,4510 Salt Lake Blvd Ste D5,Honolulu,HI,968183172,21.36,-157.93
